tweet_id,tweet_text,date,user_id,user_mentions,retweet_count
1332747728984678402,"@PPathole @karpathy For a second there, I thought that was a pic of Thanos haha",11/28/2020,44196397,"[{'screen_name': 'PPathole', 'name': 'Pranay Pathole', 'id': 1291945442, 'id_str': '1291945442', 'indices': [0, 9]}, {'screen_name': 'karpathy', 'name': 'Andrej Karpathy', 'id': 33836629, 'id_str': '33836629', 'indices': [10, 19]}]",33
1332501090483527682,"@Poppa_BearQ @ID_AA_Carmack Yeah, truncate zeros &amp; then round",11/28/2020,44196397,"[{'screen_name': 'Poppa_BearQ', 'name': 'Sirrah Divad', 'id': 990380726032916480, 'id_str': '990380726032916480', 'indices': [0, 12]}, {'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [13, 27]}]",23
1332500802750083074,@dburkland @ID_AA_Carmack Probably going to a wider beta in ~2 weeks,11/28/2020,44196397,"[{'screen_name': 'dburkland', 'name': 'Dan Burkland', 'id': 162527761, 'id_str': '162527761', 'indices': [0, 10]}, {'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [11, 25]}]",106
1332493771074887681,@ID_AA_Carmack fp16 with least important digits truncated (so it feels like fp32) is what were betting on for training with Dojo,11/28/2020,44196397,"[{'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [0, 14]}]",33
1332488875319681026,@ID_AA_Carmack Int8 for almost all heavy lifting in inference works great,11/28/2020,44196397,"[{'screen_name': 'ID_AA_Carmack', 'name': 'John Carmack', 'id': 175624200, 'id_str': '175624200', 'indices': [0, 14]}]",22
1332043250664935427,@thisisjendoll But actually! https://t.co/lb14pKsayI,11/26/2020,44196397,"[{'screen_name': 'thisisjendoll', 'name': 'Jen Doll', 'id': 46442771, 'id_str': '46442771', 'indices': [0, 14]}]",62
1332043037262942208,@thisisjendoll https://t.co/mMg5b8b40z,11/26/2020,44196397,"[{'screen_name': 'thisisjendoll', 'name': 'Jen Doll', 'id': 46442771, 'id_str': '46442771', 'indices': [0, 14]}]",83
1331979023098974208,Happy Thanksgiving!,11/26/2020,44196397,[],10132
1331835831720554497,@teslaownerssv @JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Hopefully next month,11/26/2020,44196397,"[{'screen_name': 'teslaownerssv', 'name': 'Tesla Owners Silicon Valley', 'id': 1016059981907386368, 'id_str': '1016059981907386368', 'indices': [0, 14]}, {'screen_name': 'JohnEG78', 'name': 'John Edward Garcia', 'id': 4004322620, 'id_str': '4004322620', 'indices': [15, 24]}, {'screen_name': 'TeslaChillMode', 'name': 'TeslaChillMode #TeraSquad', 'id': 1238951706785796096, 'id_str': '1238951706785796096', 'indices': [25, 40]}, {'screen_name': 'UNPLGD3', 'name': 'UNPLGD: Peasant Pilot', 'id': 1000238794556129280, 'id_str': '1000238794556129280', 'indices': [41, 49]}, {'screen_name': 'MFrunker', 'name': 'Tesla MotherFrunker #FSDBetaCanada', 'id': 1052331772808192001, 'id_str': '1052331772808192001', 'indices': [50, 59]}, {'screen_name': 'ccteslaclub', 'name': 'Tesla Owners Central Coast', 'id': 1050042398057750528, 'id_str': '1050042398057750528', 'indices': [60, 72]}]",45
1331835311803015168,"@JohnEG78 @TeslaChillMode @UNPLGD3 @MFrunker @ccteslaclub Ok. Overall air suspension height &amp; damping algorithm is getting a lot of attention. Will be linked to FSD, so acts automatically.",11/26/2020,44196397,"[{'screen_name': 'JohnEG78', 'name': 'John Edward Garcia', 'id': 4004322620, 'id_str': '4004322620', 'indices': [0, 9]}, {'screen_name': 'TeslaChillMode', 'name': 'TeslaChillMode #TeraSquad', 'id': 1238951706785796096, 'id_str': '1238951706785796096', 'indices': [10, 25]}, {'screen_name': 'UNPLGD3', 'name': 'UNPLGD: Peasant Pilot', 'id': 1000238794556129280, 'id_str': '1000238794556129280', 'indices': [26, 34]}, {'screen_name': 'MFrunker', 'name': 'Tesla MotherFrunker #FSDBetaCanada', 'id': 1052331772808192001, 'id_str': '1052331772808192001', 'indices': [35, 44]}, {'screen_name': 'ccteslaclub', 'name': 'Tesla Owners Central Coast', 'id': 1050042398057750528, 'id_str': '1050042398057750528', 'indices': [45, 57]}]",51
1331834702102228992,@karpathy Haha true,11/26/2020,44196397,"[{'screen_name': 'karpathy', 'name': 'Andrej Karpathy', 'id': 33836629, 'id_str': '33836629', 'indices': [0, 9]}]",37
1331834461768527872,@HumanoidHistory The Promise is greatly needed,11/26/2020,44196397,"[{'screen_name': 'HumanoidHistory', 'name': 'Humanoid History', 'id': 300774820, 'id_str': '300774820', 'indices': [0, 16]}]",187
1331745833629470722,"@EvaFoxU We will have special colors for new Roadster, as we did for the original",11/25/2020,44196397,"[{'screen_name': 'EvaFoxU', 'name': 'Eva Fox 🦊 狐', 'id': 959471389282578432, 'id_str': '959471389282578432', 'indices': [0, 8]}]",150
1331723344325070849,@RationalEtienne @TheBabylonBee ,11/25/2020,44196397,"[{'screen_name': 'RationalEtienne', 'name': 'Pope of Muskanity', 'id': 2241150253, 'id_str': '2241150253', 'indices': [0, 16]}, {'screen_name': 'TheBabylonBee', 'name': 'The Babylon Bee', 'id': 4914384040, 'id_str': '4914384040', 'indices': [17, 31]}]",55
1331698780073320449,.@TheBabylonBee is savage ,11/25/2020,44196397,"[{'screen_name': 'TheBabylonBee', 'name': 'The Babylon Bee', 'id': 4914384040, 'id_str': '4914384040', 'indices': [1, 15]}]",6513
1331661948950372353,@WorldAndScience If you ever wondered where we came from,11/25/2020,44196397,"[{'screen_name': 'WorldAndScience', 'name': 'World and Science', 'id': 511402689, 'id_str': '511402689', 'indices': [0, 16]}]",400
1331420412387880962,"This is a life leader launch, so more risk than normal https://t.co/EtFP9IELrf",11/25/2020,44196397,[],1699
1331391765694263299,"@TesLatino @flcnhvy @thesheetztweetz Yes, but only slightly filled",11/25/2020,44196397,"[{'screen_name': 'TesLatino', 'name': 'TesLatino 🚀 a.k.a. Rafael and #FSDBeta Tester', 'id': 989986448295235586, 'id_str': '989986448295235586', 'indices': [0, 10]}, {'screen_name': 'flcnhvy', 'name': 'Viv 🐉', 'id': 1060180551544528897, 'id_str': '1060180551544528897', 'indices': [11, 19]}, {'screen_name': 'thesheetztweetz', 'name': 'Michael Sheetz', 'id': 1231406720, 'id_str': '1231406720', 'indices': [20, 36]}]",45
1331391356204425217,@aholstein404 @flcnhvy @thesheetztweetz This is a subject of much debate,11/25/2020,44196397,"[{'screen_name': 'aholstein404', 'name': 'Anthony Holstein', 'id': 818652835520872452, 'id_str': '818652835520872452', 'indices': [0, 13]}, {'screen_name': 'flcnhvy', 'name': 'Viv 🐉', 'id': 1060180551544528897, 'id_str': '1060180551544528897', 'indices': [14, 22]}, {'screen_name': 'thesheetztweetz', 'name': 'Michael Sheetz', 'id': 1231406720, 'id_str': '1231406720', 'indices': [23, 39]}]",39
1331391132367015937,@flcnhvy @thesheetztweetz Major upgrades are slated for SN15,11/25/2020,44196397,"[{'screen_name': 'flcnhvy', 'name': 'Viv 🐉', 'id': 1060180551544528897, 'id_str': '1060180551544528897', 'indices': [0, 8]}, {'screen_name': 'thesheetztweetz', 'name': 'Michael Sheetz', 'id': 1231406720, 'id_str': '1231406720', 'indices': [9, 25]}]",122
