id,username,text,keywords,date,location
1189680897982959617,alesurveyor,"#NosSiguenMatando 

YO OPINO...
Que todo este montón de wnes, nos deben explicaciones...

#chaopiñera, #chaopolíticos

PARA QUE NUNCA MAS EN CHILE...

#RenunciaPiñera 
#paraquenuncamasenchile
#yquepasoconlasbicicletas https://t.co/6n3qAMrFUR",['#RenunciaPiñera'],2019-10-30 23:10:03,
1189687657384873984,SebaRamos15,"Irá tambien a los funerales de las victimas???

@sebastianpinera 

#RenunciaPiñera https://t.co/IFRjpaOH0o",['#RenunciaPiñera'],2019-10-30 23:36:55,
1189687983957512194,elporteno2016,"Bombas lacrimógenas: cómo el agua con bicarbonato puede neutralizar su efecto
#30Oct #RenunciaPiñera #PiñeraVerguenzaMundial https://t.co/i3Iit8tLZG https://t.co/KByVen7bUQ",['#RenunciaPiñera'],2019-10-30 23:38:13,
1189685855046246411,fransvilll,"#RenunciaPiñera juicio y castigo por  asesinar a su propio pueblo. #NosSiguenMatando #NuevaConstituciónParaChile #nuevaagendasocial  
Vale hongos. https://t.co/FRyIDh3TkF",['#RenunciaPiñera'],2019-10-30 23:29:45,"Santiago, Chile"
1189691791014014977,dacafamo,"#PiñeraVerguenzaMundial Porque nadie quiere tus soluciones parches, además deja de adueñarte de las cosas que se están legislando hace tiempo pero que tu bancada no daba los votos hasta ahora por poder avanzar.

#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 23:53:21,
1189691196769099777,rodvictorious,sabia que era un ctm pillo pero hoy lamento saber que es un ctm pillo y asesino #renunciapiñera #AcusacionConstitucionalPiñera #Chadwickalacarcel,['#RenunciaPiñera'],2019-10-30 23:50:59,Chile
1189688900853342208,clerypiera,"@cescobarap Asi no se puede vivir mas.!!! Siento orgullo por.los.profe de.mi pais aguante puebloooo aguante!!!
#renunciapiñera#nosestanmatando 
#La210Marcha #",['#RenunciaPiñera'],2019-10-30 23:41:51,
1189664120691449857,Maritxu508,"@CNNChile Cuántos balines en el cuerpo dice “tu protocolo” ?hay chilenos con 50 balines ....hay 126 personas que perdieron un ojo..ándate a la CSM a otro perro con ese hueso , para de mentir y arrepientete luego!!!#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 22:03:23,Chefchaouen
1189684377556520965,SebastianSilvaH,"@paulinanu el INDH, los comunistas y todo el pueblo de CHILE está esperando sus disculpas publicas y por favor deje de dar vergüenza queremos soluciones no problemas @Ale_FunkyS #RenunciaPiñera #PineraDictador #AsambleaConstituyente https://t.co/jEnCoxDFKT",['#RenunciaPiñera'],2019-10-30 23:23:53,"Santiago, Chile"
1189689455575207937,lvaroGu64703525,#renunciapiñera #piñerarenuncia #piñeradictador #deletepiñera en Plaza Italia https://t.co/oFPNVAQ1bm,['#RenunciaPiñera'],2019-10-30 23:44:04,Planeta Tierra 
1189688891151912974,LilaLanaLover,"Mi hermano me manda esto de New York 

#RenunciaPiñera https://t.co/f8Is8YpixO",['#RenunciaPiñera'],2019-10-30 23:41:49,Siempre a la izquierda 
1189661284230410240,vicanmal,"@CNNChile No entendió que NO queremos mas tag.
#RenunciaPiñera",['#RenunciaPiñera'],2019-10-30 21:52:07,
